scenario,strategy,count,honest_p,byz_exploit_p,obs_error_p,cold_start_exclusion_rate,post_exposure_miss_rate,mean_post_exposure_first_exclusion_delay,p50_post_exposure_first_exclusion_delay,p95_post_exposure_first_exclusion_delay,mean_stable_h3_delay,stable_h3_miss_rate,mean_stable_h5_delay,stable_h5_miss_rate,mean_post_attack_miss_rate,mean_re_entry_count,mean_honest_demotion_rate,mean_byzantine_leader_rounds
P_T1_h098_b050_e02,sliding-w-20,100,0.98,0.5,0.02,0.065,0.0,0.7112299465240641,0,3,0.7112299465240641,0.0,0.7112299465240641,0.0,0.01231578947368421,0.0,0.4631729184720041,6.06
P_T1_h098_b050_e02,sliding-w-5,100,0.98,0.5,0.02,0.005,0.0,2.2613065326633164,0,5,2.351758793969849,0.0,2.351758793969849,0.0,0.06863157894736842,2.73,0.43112298613501815,11.41
P_T1_h098_b050_e05,cumulative,100,0.98,0.5,0.05,0.065,0.0,0.7272727272727273,0,3,0.7486631016042781,0.0,0.7486631016042781,0.0,0.013368421052631578,0.02,0.44335173154426927,6.12
P_T1_h098_b050_e05,decay-90,100,0.98,0.5,0.05,0.065,0.0,0.7219251336898396,0,3,0.7219251336898396,0.0,0.7219251336898396,0.0,0.01305263157894737,0.0,0.4655884454006857,6.09
P_T1_h098_b050_e05,decay-95,100,0.98,0.5,0.05,0.065,0.0,0.7219251336898396,0,3,0.7219251336898396,0.0,0.7219251336898396,0.0,0.01305263157894737,0.0,0.4653752745425782,6.09
P_T1_h098_b050_e05,decay-99,100,0.98,0.5,0.05,0.065,0.0,0.7219251336898396,0,3,0.7219251336898396,0.0,0.7219251336898396,0.0,0.01305263157894737,0.0,0.4555731021326616,6.09
P_T1_h098_b050_e05,sliding-w-10,100,0.98,0.5,0.05,0.055,0.0,1.3227513227513228,0,4,1.343915343915344,0.0,1.343915343915344,0.0,0.016,0.12,0.4772897405855595,6.37
P_T1_h098_b050_e05,sliding-w-20,100,0.98,0.5,0.05,0.065,0.0,0.7272727272727273,0,3,0.7486631016042781,0.0,0.7486631016042781,0.0,0.013368421052631578,0.02,0.4739548995616277,6.12
P_T1_h098_b050_e05,sliding-w-5,100,0.98,0.5,0.05,0.005,0.0,1.8592964824120604,0,5,1.9396984924623115,0.0,1.964824120603015,0.0,0.07389473684210526,3.01,0.4507758321504774,11.87
P_T1_h098_b080_e00,cumulative,100,0.98,0.8,0.0,0.035,0.0,3.33160621761658,2,12,3.33160621761658,0.0,3.33160621761658,0.0,0.05663157894736842,0.01,0.37945222832722836,10.36
P_T1_h098_b080_e00,decay-90,100,0.98,0.8,0.0,0.035,0.0,3.33160621761658,2,12,3.33160621761658,0.0,3.33160621761658,0.0,0.05652631578947369,0.0,0.38929831279831284,10.35
P_T1_h098_b080_e00,decay-95,100,0.98,0.8,0.0,0.035,0.0,3.33160621761658,2,12,3.33160621761658,0.0,3.33160621761658,0.0,0.05652631578947369,0.0,0.38913759851259855,10.35
P_T1_h098_b080_e00,decay-99,100,0.98,0.8,0.0,0.035,0.0,3.33160621761658,2,12,3.33160621761658,0.0,3.33160621761658,0.0,0.05652631578947369,0.0,0.38829475671387437,10.35
P_T1_h098_b080_e00,sliding-w-10,100,0.98,0.8,0.0,0.0,0.0,4.35,2,15,4.35,0.0,4.35,0.0,0.22642105263157894,3.54,0.37684139760775737,26.49
P_T1_h098_b080_e00,sliding-w-20,100,0.98,0.8,0.0,0.02,0.0,3.7091836734693877,2,13,3.7091836734693877,0.0,3.7091836734693877,0.0,0.07294736842105264,0.29,0.4270235933139638,11.91
P_T1_h098_b080_e00,sliding-w-5,100,0.98,0.8,0.0,0.0,0.0,3.545,2,12,3.655,0.0,3.815,0.0,0.5413684210526316,11.58,0.31187314572205027,56.41
P_T1_h098_b080_e02,cumulative,100,0.98,0.8,0.02,0.05,0.0,3.1894736842105265,1,12,3.2421052631578946,0.0,3.2421052631578946,0.0,0.05652631578947369,0.02,0.41776815242720816,10.27
P_T1_h098_b080_e02,decay-90,100,0.98,0.8,0.02,0.05,0.0,3.1842105263157894,1,12,3.1842105263157894,0.0,3.1842105263157894,0.0,0.05578947368421052,0.04,0.4386163205796063,10.2
P_T1_h098_b080_e02,decay-95,100,0.98,0.8,0.02,0.05,0.0,3.1842105263157894,1,12,3.1842105263157894,0.0,3.1842105263157894,0.0,0.05515789473684211,0.01,0.43930349213828657,10.14
P_T1_h098_b080_e02,decay-99,100,0.98,0.8,0.02,0.05,0.0,3.1842105263157894,1,12,3.1842105263157894,0.0,3.1842105263157894,0.0,0.05515789473684211,0.01,0.4325856149513354,10.14
P_T1_h098_b080_e02,sliding-w-10,100,0.98,0.8,0.02,0.005,0.0,4.457286432160804,2,16,4.457286432160804,0.0,4.457286432160804,0.0,0.2003157894736842,3.19,0.4235889015605154,23.93
P_T1_h098_b080_e02,sliding-w-20,100,0.98,0.8,0.02,0.045,0.0,3.319371727748691,2,12,3.3717277486910993,0.0,3.3717277486910993,0.0,0.07421052631578946,0.47,0.45671447563260886,11.95
P_T1_h098_b080_e02,sliding-w-5,100,0.98,0.8,0.02,0.0,0.0,3.445,2,13,3.7,0.0,4.075,0.0,0.5230526315789473,11.8,0.3540592363563592,54.59
P_T1_h098_b080_e05,cumulative,100,0.98,0.8,0.05,0.065,0.0,2.5454545454545454,1,10,2.6470588235294117,0.0,2.6684491978609626,0.0,0.04842105263157895,0.12,0.43848272620903506,9.34
P_T1_h098_b080_e05,decay-90,100,0.98,0.8,0.05,0.065,0.0,2.449197860962567,1,9,2.449197860962567,0.0,2.449197860962567,0.0,0.04494736842105263,0.12,0.4633635400963509,9.01
P_T1_h098_b080_e05,decay-95,100,0.98,0.8,0.05,0.065,0.0,2.449197860962567,1,9,2.449197860962567,0.0,2.449197860962567,0.0,0.042105263157894736,0.05,0.46327425051012483,8.74
P_T1_h098_b080_e05,decay-99,100,0.98,0.8,0.05,0.065,0.0,2.449197860962567,1,9,2.449197860962567,0.0,2.449197860962567,0.0,0.04189473684210526,0.04,0.45121557351813124,8.72
